118,류산슬덮밥,73.947,19.039,26.962,574.992
119,멍게비빔밥,90.7,13.1,16.6,547.21
120,멸치주먹밥,54.3,6.6,9,312
121,묵밥,128.6,7.7,14.8,642.16
122,문어초밥,81.778,0.74,14.614,392.227
123,비빔밥,98.7,22,24.6,691.62
124,삼선볶음밥,85.754,26.461,26.237,686.108
125,새우초밥,78.422,0.752,16.804,387.671
126,새우튀김롤,96.281,18.168,14.467,606.504
127,샐러드김밥,61.451,13.52,9.616,405.948
128,생선초밥(광어),77.547,3.923,27.069,453.777
129,생선초밥(모듬),76.431,6.061,25.423,461.966
130,소고기국밥,42.6,8.1,21.8,330.53
131,소고기김밥,62.518,9.625,15.978,400.609
132,송이덮밥,95.601,14.06,18.214,581.806
133,숯불갈비 삼각김밥,32.547,1.674,3.998,161.243
134,약초비빔밥,80.2,15.9,11.9,511.8
135,연어롤,74.318,15.404,18.571,510.191
136,연어초밥,71.037,9.738,18.883,447.318
137,오곡밥,82.321,1.303,11.952,388.816
138,자장밥,120.057,22.277,15.236,741.66
139,잡탕밥,104.937,20.135,44.12,777.439
140,장어덮밥,97.351,22.976,30.088,716.541
141,장어초밥,80.681,10.828,16.52,486.26
142,참치덮밥,102.931,16.73,29.201,679.101
143,참치마요네즈 삼각김밥,31.953,3.202,3.941,172.397
144,충무김밥,109.156,5.956,23.425,583.926
145,캘리포니아롤,89.227,9.046,12.33,487.639
146,한치초밥,77.923,0.848,13.712,374.18
147,해물덮밥,100.449,22.443,42.037,771.933
148,해물볶음밥,90.459,26.996,25.105,705.217
149,회덮밥,103.3,16.553,30.21,683.018
150,깻잎나물볶음,11.5,14.4,7.5,206
151,돼지고기볶음,18.21,20.665,22.961,350.673
152,돼지껍데기볶음,24.5,16.7,25.8,352
153,두부김치,14.079,17.115,19.466,288.213
154,머위나물볶음,7.6,7,3.5,108
155,멸치풋고추볶음,3.406,2.239,4.65,52.379
156,소세지볶음,31.8,29.9,18.8,471
157,순대볶음,76.7,21.3,20.7,582
158,양송이버섯볶음,11,8.3,4.5,136
159,오삼불고기,20.5,19.9,25.6,363
160,주꾸미볶음,22.825,5.201,18.326,211.413
161,표고버섯볶음,15.8,6.7,4.5,142
162,해물볶음,32.2,15.3,38.2,419.06
163,곰보빵,42.157,9.273,6.313,277.336
164,만주,46.803,1.64,5.13,222.494
165,버터크림빵,27.736,11.043,4.905,229.957
166,불고기피자,61.2,16.7,27.4,505
167,참치샌드위치,36.5,35.1,23.3,555
168,찹쌀도우넛,39.952,3.682,3.526,207.047
169,채소고로케,31.187,16.378,7.125,300.653
170,초콜릿케이크,43.597,24.955,5.315,420.243
171,치즈케이크,28.638,20.632,7.225,329.145
172,치즈피자,71.2,15.8,31.4,553
173,페이스트리빵,32.516,18.396,5.992,319.59
174,페퍼로니피자,70.3,14.8,29.4,532
175,포테이토피자,71.6,25.5,28,628
176,수정과,20.337,5.474,0.597,133.004
177,식혜,24.319,2.628,2.302,130.137
178,간장마늘쫑장아찌,5.4,0.5,1,30
179,고추장마늘쫑장아찌,10.5,0.9,1.3,55
180,매실장아찌,17.432,0.129,0.496,72.879
181,무장아찌,5.029,0.227,0.441,23.923
182,계적,0,30.429,57.721,488.084
183,낙지꼬지,2.828,1.276,13.14,75.354
184,돔베기적,0,7.417,30.077,159.486
185,소고기산적,7.331,25.568,48.41,453.075
186,소라산적,6.451,2.512,17.922,120.1
187,오징어산적,3.603,1.977,17.375,101.709
188,홍어적,0,0.66,23.592,89.153
189,홍합산적,10.576,4.804,17.782,156.665
190,가자미전,6.915,11.065,25.76,230.282
191,고추전,17.01,17.223,12.91,274.689
192,굴전,14.5,10.5,10.6,195
193,깻잎전,14.543,25.776,17.736,361.099
194,녹두빈대떡,20.934,10.27,7.945,207.942
195,동그랑땡(육원전),12.681,20.001,19.618,309.2
196,동태전,10.536,15.04,22.636,268.045
197,두부전,7.499,15.868,20.458,254.643
198,미나리전,34.227,7.617,5.239,226.413
199,배추전,35.515,8.669,5.166,240.746
200,버섯전,16.194,14.868,10.524,240.687
201,야채전,21.6,9.5,5.4,194
202,파전,34.807,14.026,6.834,292.799
203,햄부침,11.3,17.1,11.3,244
204,호박부침개,10.1,8.1,3.9,129
205,호박전,16.096,13.09,6.478,208.104
206,화양적,21.347,14.77,13.582,272.647
207,가자미조림,21.5,7.1,37.1,297.98
208,고추조림,13.4,4.9,3.3,111
209,동태조림,17.4,4.7,40.8,276
210,돼지고기메추리알장조림,3.372,1.851,8.336,63.492
211,북어조림,17.143,3.331,20.826,181.86
212,소고기메추리알장조림,2.883,1.842,8.137,60.652
213,조기조림,12.8,18.8,41.1,384
214,게살죽,107.346,7.095,17.898,564.83
215,깨죽,79.305,15.944,13.656,515.348
216,백합죽,84.7,5.6,16.5,455.28
217,소고기버섯죽,109.026,7.465,18.747,578.278
218,어죽,100.8,7.5,20.4,552.06
219,잣죽,155.275,19.629,19.179,874.482
220,참치죽,104.566,16.062,24.194,659.599
221,고등어찌개,25.6,33.7,48.9,601.62
222,김치찌개,11.929,15.005,15.069,243.032
223,꽁치찌개,12.2,23.3,24,355
224,두부전골,17.1,16.1,25.6,315.16
225,버섯찌개,15.4,5.2,14.7,167.56
226,부대찌개,39.7,18.6,18.4,399.5
227,새우젓두부찌개,7.2,8.1,16.2,166
228,소곱창전골,29.2,27.3,41.6,529
229,햄김치찌개,12.7,10.4,11.1,189
230,호박찌개,12.2,2.6,5.6,95
231,대구찜,24.7,7.9,51.7,376.42
232,도미찜,0.54,3.485,22.996,125.506
233,동태찜,25.8,9.7,50.9,394.32
234,돼지등갈비찜,57.4,49.2,72.1,961.04
235,돼지머리고기,3.5,52,42.4,650
236,매운갈비찜,23.7,19.7,61.3,517.44
237,문어숙회,0.73,0.505,14.862,66.914
238,민어찜,0,5.914,21.474,136.878
239,병어찜,0.157,11.515,18.857,179.688
240,북어찜,18,5.7,28.1,235
241,붕어찜,71.6,36.9,54.3,835.6
242,소갈비찜,13.138,26.956,49.86,494.599
243,순대 ,58.362,25.636,19.561,542.415
244,아구찜,17.471,5.309,48.302,310.871
245,아구찜,43.1,6.5,65.4,492.32
246,찜닭,139.5,38.8,114.2,1364.21
247,전어찜,0.597,22.97,17.275,278.218
248,조기찜,1.642,10.59,20.058,182.118
249,참꼬막,4.592,2.503,12.472,90.787
250,한방오리백숙,3.358,20.104,68.79,469.532
251,해물찜,35.4,9.8,42.6,400.08
252,홍어찜,1.221,1.034,47.12,202.669
253,갈낙탕,0.8,12.8,35.8,261.77
254,곰탕,18.1,3.7,19.4,183.25
255,광어매운탕,9.133,16.621,58.417,419.793
256,낙지탕,10.4,3.2,29.4,187.8
257,대구매운탕,16.844,7.214,57.361,361.747
258,대구지리탕,9.9,6.2,41.6,262.02
259,메기매운탕,48.6,10.2,28.6,400
260,복지리탕,10.3,2.7,41.7,232.05
261,소탕,1.898,5.35,7.657,86.369
262,아구탕,12.8,4.9,37.8,246.07
263,어탕,1.817,3.09,12.699,85.87
264,연포탕,20.191,9.03,94.902,541.644
265,우럭매운탕,11.235,17.032,52.146,406.816
266,육탕,0.351,3.954,12.661,87.633
267,전복탕,15.8,3,26.8,196.85
268,조기매운탕,17.3,19.4,35.1,384.38
269,짱뚱어탕,16.6,8.5,11.5,188.77
270,추어탕,26.8,13.2,22.7,316.72
271,해물탕,16.6,4.7,39.8,267.81
272,고구마맛탕,94.6,11,3.3,491
273,고구마튀김,33.802,11.874,2.723,252.964
